,addend,Rate.x.nM.hr,Rate.1.nM.hr,Rate.2.nM.hr,Rate.3.nM.hr,mean.Rate.nM.hr,sd.Rate.nM.hr,kcRate.x.nM.hr,kcRate.1.nM.hr,kcRate.2.nM.hr,kcRate.3.nM.hr,mean.kcRate.nM.hr,sd.kcRate.nM.hr
stn7-d3-pul-t1,change to zero,,,,,,,,,,,,
stn7-d3-pul-t2,change to zero,,,,,,,,,,,,
stn7-d3-pul-t3,change to zero,,,,,,,,,,,,
stn7-d3-xyl-t0,change to zero,,,,,,,,,,,,
stn7-d3-xyl-t1,change to zero,,,,,,,,,,,,
stn7-d3-xyl-t2,change to zero,,,,,,,,,,,,
stn7-d3-xyl-t3,change to zero,,,,,,,,,,,,
stn10-d3-ara-t0,change to zero,,,,,,,,,,,,
stn10-d3-ara-t1,change to zero,,,,,,,,,,,,
stn10-d3-ara-t2,change to zero,,,,,,,,,,,,
stn10-d3-ara-t3,change to zero,,,,,,,,,,,,
stn10-d3-chon-t0,change to zero,,,,,,,,,,,,
stn10-d3-chon-t1,change to zero,,,,,,,,,,,,
stn10-d3-chon-t2,change to zero,,,,,,,,,,,,
stn10-d3-chon-t3,change to zero,,,,,,,,,,,,
stn10-d3-fuc-t0,,,,,,,,,,,,,
stn10-d3-fuc-t1,,,,,,,,,,,,,
stn10-d3-fuc-t2,,,,,,,,,,,,,
stn10-d3-fuc-t3,,,,,,,,,,,,,
stn10-d3-lam-t0,,,,,,,,,,,,,
stn10-d3-lam-t1,,,,,,,,,,,,,
stn10-d3-lam-t2,,,,,,,,,,,,,
stn10-d3-lam-t3,,,,,,,,,,,,,
stn10-d3-pul-t0,change to zero,,,,,,,,,,,,
stn10-d3-pul-t1,change to zero,,,,,,,,,,,,
stn10-d3-pul-t2,change to zero,,,,,,,,,,,,
stn10-d3-pul-t3,change to zero,,,,,,,,,,,,
stn10-d3-xyl-t0,change to zero,,,,,,,,,,,,
stn10-d3-xyl-t1,change to zero,,,,,,,,,,,,
stn10-d3-xyl-t2,change to zero,,,,,,,,,,,,
stn10-d3-xyl-t3,change to zero,,,,,,,,,,,,
stn15-d3-ara-t0,change to zero,,,,,,,,,,,,
stn15-d3-ara-t1,change to zero,,,,,,,,,,,,
stn15-d3-ara-t2,change to zero,,,,,,,,,,,,
stn15-d3-ara-t3,change to zero,,,,,,,,,,,,
stn15-d3-chon-t0,change to zero,,,,,,,,,,,,
stn15-d3-chon-t1,change to zero,,,,,,,,,,,,
stn15-d3-chon-t2,change to zero,,,,,,,,,,,,
stn15-d3-chon-t3,change to zero,,,,,,,,,,,,
stn15-d3-fuc-t0,change to zero,,,,,,,,,,,,
stn15-d3-fuc-t1,change to zero,,,,,,,,,,,,
stn15-d3-fuc-t2,change to zero,,,,,,,,,,,,
stn15-d3-fuc-t3,change to zero,,,,,,,,,,,,
stn15-d3-lam-t0,change to zero,,,,,,,,,,,,
stn15-d3-lam-t1,change to zero,,,,,,,,,,,,
stn15-d3-lam-t2,change to zero,,,,,,,,,,,,
stn15-d3-lam-t3,change to zero,,,,,,,,,,,,
stn15-d3-pul-t0,change to zero,,,,,,,,,,,,
stn15-d3-pul-t1,change to zero,,,,,,,,,,,,
stn15-d3-pul-t2,change to zero,,,,,,,,,,,,
stn15-d3-pul-t3,change to zero,,,,,,,,,,,,
stn15-d3-xyl-t0,change to zero,,,,,,,,,,,,
stn15-d3-xyl-t1,change to zero,,,,,,,,,,,,
stn15-d3-xyl-t2,change to zero,,,,,,,,,,,,
stn15-d3-xyl-t3,change to zero,,,,,,,,,,,,
stn18-d3-ara-t0,change to zero,,,,,,,,,,,,
stn18-d3-ara-t1,change to zero,,,,,,,,,,,,
stn18-d3-ara-t2,change to zero,,,,,,,,,,,,
stn18-d3-chon-t0,change to zero,,,,,,,,,,,,
stn18-d3-chon-t1,change to zero,,,,,,,,,,,,
stn18-d3-chon-t2,change to zero,,,,,,,,,,,,
stn18-d3-fuc-t0,change to zero,,,,,,,,,,,,
stn18-d3-fuc-t1,change to zero,,,,,,,,,,,,
stn18-d3-fuc-t2,change to zero,,,,,,,,,,,,
stn18-d3-lam-t0,,,,,,,,,,,,,
stn18-d3-lam-t1,,,,,,,,,,,,,
stn18-d3-lam-t2,,,,,,,,,,,,,
stn18-d3-pul-t0,change to zero,,,,,,,,,,,,
stn18-d3-pul-t1,change to zero,,,,,,,,,,,,
stn18-d3-pul-t2,change to zero,,,,,,,,,,,,
stn18-d3-xyl-t0,change to zero,,,,,,,,,,,,
stn18-d3-xyl-t1,change to zero,,,,,,,,,,,,
stn18-d3-xyl-t2,change to zero,,,,,,,,,,,,
stn2-d4-ara-t0,change to zero,,,,,,,,,,,,
stn2-d4-ara-t1,change to zero,,,,,,,,,,,,
stn2-d4-ara-t2,change to zero,,,,,,,,,,,,
stn2-d4-ara-t3,change to zero,,,,,,,,,,,,
stn2-d4-chon-t0,,,,,,,,,,,,,
stn2-d4-chon-t1,,,,,,,,,,,,,
stn2-d4-chon-t2,,,,,,,,,,,,,
stn2-d4-chon-t3,,,,,,,,,,,,,
stn2-d4-fuc-t0,change to zero,,,,,,,,,,,,
stn2-d4-fuc-t1,change to zero,,,,,,,,,,,,
stn2-d4-fuc-t2,change to zero,,,,,,,,,,,,
stn2-d4-fuc-t3,change to zero,,,,,,,,,,,,
stn2-d4-lam-t0,,,,,,,,,,,,,
stn2-d4-lam-t1,,,,,,,,,,,,,
stn2-d4-lam-t2,,,,,,,,,,,,,
stn2-d4-lam-t3,,,,,,,,,,,,,
stn2-d4-pul-t0,change to zero,,,,,,,,,,,,
stn2-d4-pul-t1,change to zero,,,,,,,,,,,,
stn2-d4-pul-t2,change to zero,,,,,,,,,,,,
stn2-d4-pul-t3,change to zero,,,,,,,,,,,,
stn2-d4-xyl-t0,change to zero,,,,,,,,,,,,
stn2-d4-xyl-t1,change to zero,,,,,,,,,,,,
stn2-d4-xyl-t2,change to zero,,,,,,,,,,,,
stn2-d4-xyl-t3,change to zero,,,,,,,,,,,,
stn4-d4-ara-t0,change to zero,,,,,,,,,,,,
stn4-d4-ara-t1,change to zero,,,,,,,,,,,,
stn4-d4-ara-t2,change to zero,,,,,,,,,,,,
stn4-d4-ara-t3,change to zero,,,,,,,,,,,,
stn4-d4-chon-t0,change to zero,,,,,,,,,,,,
stn4-d4-chon-t1,change to zero,,,,,,,,,,,,
stn4-d4-chon-t2,change to zero,,,,,,,,,,,,
stn4-d4-chon-t3,change to zero,,,,,,,,,,,,
stn4-d4-fuc-t0,change to zero,,,,,,,,,,,,
stn4-d4-fuc-t1,change to zero,,,,,,,,,,,,
stn4-d4-fuc-t2,change to zero,,,,,,,,,,,,
stn4-d4-fuc-t3,change to zero,,,,,,,,,,,,
stn4-d4-lam-t0,change to zero,,,,,,,,,,,,
stn4-d4-lam-t1,change to zero,,,,,,,,,,,,
stn4-d4-lam-t2,change to zero,,,,,,,,,,,,
stn4-d4-lam-t3,change to zero,,,,,,,,,,,,
stn4-d4-pul-t0,change to zero,,,,,,,,,,,,
stn4-d4-pul-t1,change to zero,,,,,,,,,,,,
stn4-d4-pul-t2,change to zero,,,,,,,,,,,,
stn4-d4-pul-t3,change to zero,,,,,,,,,,,,
stn4-d4-xyl-t0,change to zero,,,,,,,,,,,,
stn4-d4-xyl-t1,change to zero,,,,,,,,,,,,
stn4-d4-xyl-t2,change to zero,,,,,,,,,,,,
stn4-d4-xyl-t3,change to zero,,,,,,,,,,,,
stn7-d4-ara-t0,change to zero,,,,,,,,,,,,
stn7-d4-ara-t1,change to zero,,,,,,,,,,,,
stn7-d4-ara-t2,change to zero,,,,,,,,,,,,
stn7-d4-ara-t3,change to zero,,,,,,,,,,,,
stn7-d4-chon-t0,change to zero,,,,,,,,,,,,
stn7-d4-chon-t1,change to zero,,,,,,,,,,,,
stn7-d4-chon-t2,change to zero,,,,,,,,,,,,
stn7-d4-chon-t3,change to zero,,,,,,,,,,,,
stn7-d4-fuc-t0,change to zero,,,,,,,,,,,,
stn7-d4-fuc-t1,change to zero,,,,,,,,,,,,
stn7-d4-fuc-t2,change to zero,,,,,,,,,,,,
stn7-d4-fuc-t3,change to zero,,,,,,,,,,,,
stn7-d4-lam-t0,,,,,,,,,,,,,
stn7-d4-lam-t1,,,,,,,,,,,,,
stn7-d4-lam-t2,,,,,,,,,,,,,
stn7-d4-lam-t3,,,,,,,,,,,,,
stn7-d4-pul-t0,change to zero,,,,,,,,,,,,
stn7-d4-pul-t1,change to zero,,,,,,,,,,,,
stn7-d4-pul-t2,change to zero,,,,,,,,,,,,
stn7-d4-pul-t3,change to zero,,,,,,,,,,,,
stn7-d4-xyl-t0,change to zero,,,,,,,,,,,,
stn7-d4-xyl-t1,change to zero,,,,,,,,,,,,
stn7-d4-xyl-t2,change to zero,,,,,,,,,,,,
stn7-d4-xyl-t3,change to zero,,,,,,,,,,,,
stn10-d4-ara-t0,change to zero,,,,,,,,,,,,
stn10-d4-ara-t1,change to zero,,,,,,,,,,,,
stn10-d4-ara-t2,change to zero,,,,,,,,,,,,
stn10-d4-ara-t3,change to zero,,,,,,,,,,,,
stn10-d4-chon-t0,change to zero,,,,,,,,,,,,
stn10-d4-chon-t1,change to zero,,,,,,,,,,,,
stn10-d4-chon-t2,change to zero,,,,,,,,,,,,
stn10-d4-chon-t3,change to zero,,,,,,,,,,,,
stn10-d4-fuc-t0,change to zero,,,,,,,,,,,,
stn10-d4-fuc-t1,change to zero,,,,,,,,,,,,
stn10-d4-fuc-t2,change to zero,,,,,,,,,,,,
stn10-d4-fuc-t3,change to zero,,,,,,,,,,,,
stn10-d4-lam-t0,,,,,,,,,,,,,
stn10-d4-lam-t1,,,,,,,,,,,,,
stn10-d4-lam-t2,,,,,,,,,,,,,
stn10-d4-lam-t3,,,,,,,,,,,,,
stn10-d4-pul-t0,change to zero,,,,,,,,,,,,
stn10-d4-pul-t1,change to zero,,,,,,,,,,,,
stn10-d4-pul-t2,change to zero,,,,,,,,,,,,
stn10-d4-pul-t3,change to zero,,,,,,,,,,,,
stn10-d4-xyl-t0,change to zero,,,,,,,,,,,,
stn10-d4-xyl-t1,change to zero,,,,,,,,,,,,
stn10-d4-xyl-t2,change to zero,,,,,,,,,,,,
stn10-d4-xyl-t3,change to zero,,,,,,,,,,,,
stn15-d4-ara-t0,change to zero,,,,,,,,,,,,
stn15-d4-ara-t1,change to zero,,,,,,,,,,,,
stn15-d4-ara-t2,change to zero,,,,,,,,,,,,
stn15-d4-ara-t3,change to zero,,,,,,,,,,,,
stn15-d4-chon-t0,change to zero,,,,,,,,,,,,
stn15-d4-chon-t1,change to zero,,,,,,,,,,,,
stn15-d4-chon-t2,change to zero,,,,,,,,,,,,
stn15-d4-chon-t3,change to zero,,,,,,,,,,,,
stn15-d4-fuc-t0,change to zero,,,,,,,,,,,,
stn15-d4-fuc-t1,change to zero,,,,,,,,,,,,
stn15-d4-fuc-t2,change to zero,,,,,,,,,,,,
stn15-d4-fuc-t3,change to zero,,,,,,,,,,,,
stn15-d4-lam-t0,,,,,,,,,,,,,
stn15-d4-lam-t1,,,,,,,,,,,,,
stn15-d4-lam-t2,,,,,,,,,,,,,
stn15-d4-lam-t3,,,,,,,,,,,,,
stn15-d4-pul-t0,change to zero,,,,,,,,,,,,
stn15-d4-pul-t1,change to zero,,,,,,,,,,,,
stn15-d4-pul-t2,change to zero,,,,,,,,,,,,
stn15-d4-pul-t3,change to zero,,,,,,,,,,,,
stn15-d4-xyl-t0,change to zero,,,,,,,,,,,,
stn15-d4-xyl-t1,change to zero,,,,,,,,,,,,
stn15-d4-xyl-t2,change to zero,,,,,,,,,,,,
stn15-d4-xyl-t3,change to zero,,,,,,,,,,,,
stn18-d4-ara-t0,change to zero,,,,,,,,,,,,
stn18-d4-ara-t1,change to zero,,,,,,,,,,,,
stn18-d4-ara-t2,change to zero,,,,,,,,,,,,
stn18-d4-chon-t0,change to zero,,,,,,,,,,,,
stn18-d4-chon-t1,change to zero,,,,,,,,,,,,
stn18-d4-chon-t2,change to zero,,,,,,,,,,,,
stn18-d4-fuc-t0,change to zero,,,,,,,,,,,,
stn18-d4-fuc-t1,change to zero,,,,,,,,,,,,
stn18-d4-fuc-t2,change to zero,,,,,,,,,,,,
stn18-d4-lam-t0,,,,,,,,,,,,,
stn18-d4-lam-t1,,,,,,,,,,,,,
stn18-d4-lam-t2,,,,,,,,,,,,,
stn18-d4-pul-t0,change to zero,,,,,,,,,,,,
stn18-d4-pul-t1,change to zero,,,,,,,,,,,,
stn18-d4-pul-t2,change to zero,,,,,,,,,,,,
stn18-d4-xyl-t0,change to zero,,,,,,,,,,,,
stn18-d4-xyl-t1,change to zero,,,,,,,,,,,,
stn18-d4-xyl-t2,change to zero,,,,,,,,,,,,
stn2-d5-ara-t0,change to zero,,,,,,,,,,,,
stn2-d5-ara-t1,change to zero,,,,,,,,,,,,
stn2-d5-ara-t2,change to zero,,,,,,,,,,,,
stn2-d5-ara-t3,change to zero,,,,,,,,,,,,
stn2-d5-chon-t0,change to zero,,,,,,,,,,,,
stn2-d5-chon-t1,change to zero,,,,,,,,,,,,
stn2-d5-chon-t2,change to zero,,,,,,,,,,,,
stn2-d5-chon-t3,change to zero,,,,,,,,,,,,
stn2-d5-fuc-t0,change to zero,,,,,,,,,,,,
stn2-d5-fuc-t1,change to zero,,,,,,,,,,,,
stn2-d5-fuc-t2,change to zero,,,,,,,,,,,,
stn2-d5-fuc-t3,change to zero,,,,,,,,,,,,
stn2-d5-lam-t0,,,,,,,,,,,,,
stn2-d5-lam-t1,,,,,,,,,,,,,
stn2-d5-lam-t2,,,,,,,,,,,,,
stn2-d5-lam-t3,,,,,,,,,,,,,
stn2-d5-pul-t0,change to zero,,,,,,,,,,,,
stn2-d5-pul-t1,change to zero,,,,,,,,,,,,
stn2-d5-pul-t2,change to zero,,,,,,,,,,,,
stn2-d5-pul-t3,change to zero,,,,,,,,,,,,
stn2-d5-xyl-t0,change to zero,,,,,,,,,,,,
stn2-d5-xyl-t1,change to zero,,,,,,,,,,,,
stn2-d5-xyl-t2,change to zero,,,,,,,,,,,,
stn2-d5-xyl-t3,change to zero,,,,,,,,,,,,
stn4-d5-ara-t0,change to zero,,,,,,,,,,,,
stn4-d5-ara-t1,change to zero,,,,,,,,,,,,
stn4-d5-ara-t2,change to zero,,,,,,,,,,,,
stn4-d5-ara-t3,change to zero,,,,,,,,,,,,
stn4-d5-chon-t0,change to zero,,,,,,,,,,,,
stn4-d5-chon-t1,change to zero,,,,,,,,,,,,
stn4-d5-chon-t2,change to zero,,,,,,,,,,,,
stn4-d5-chon-t3,change to zero,,,,,,,,,,,,
stn4-d5-fuc-t0,change to zero,,,,,,,,,,,,
stn4-d5-fuc-t1,change to zero,,,,,,,,,,,,
stn4-d5-fuc-t2,change to zero,,,,,,,,,,,,
stn4-d5-fuc-t3,change to zero,,,,,,,,,,,,
stn4-d5-lam-t0,change to zero,,,,,,,,,,,,
stn4-d5-lam-t1,change to zero,,,,,,,,,,,,
stn4-d5-lam-t2,change to zero,,,,,,,,,,,,
stn4-d5-lam-t3,change to zero,,,,,,,,,,,,
stn4-d5-pul-t0,change to zero,,,,,,,,,,,,
stn4-d5-pul-t1,change to zero,,,,,,,,,,,,
stn4-d5-pul-t2,change to zero,,,,,,,,,,,,
stn4-d5-pul-t3,change to zero,,,,,,,,,,,,
stn4-d5-xyl-t0,change to zero,,,,,,,,,,,,
stn4-d5-xyl-t1,change to zero,,,,,,,,,,,,
stn4-d5-xyl-t2,change to zero,,,,,,,,,,,,
stn4-d5-xyl-t3,change to zero,,,,,,,,,,,,
stn7-d5-ara-t0,,,,,,,,,,,,,
stn7-d5-ara-t1,,,,,,,,,,,,,
stn7-d5-ara-t2,,,,,,,,,,,,,
stn7-d5-ara-t3,,,,,,,,,,,,,
stn7-d5-chon-t0,change to zero,,,,,,,,,,,,
stn7-d5-chon-t1,change to zero,,,,,,,,,,,,
stn7-d5-chon-t2,change to zero,,,,,,,,,,,,
stn7-d5-chon-t3,change to zero,,,,,,,,,,,,
stn7-d5-fuc-t0,change to zero,,,,,,,,,,,,
stn7-d5-fuc-t1,change to zero,,,,,,,,,,,,
stn7-d5-fuc-t2,change to zero,,,,,,,,,,,,
stn7-d5-fuc-t3,change to zero,,,,,,,,,,,,
stn7-d5-lam-t0,change to zero,,,,,,,,,,,,
stn7-d5-lam-t1,change to zero,,,,,,,,,,,,
stn7-d5-lam-t2,change to zero,,,,,,,,,,,,
stn7-d5-lam-t3,change to zero,,,,,,,,,,,,
stn7-d5-pul-t0,change to zero,,,,,,,,,,,,
stn7-d5-pul-t1,change to zero,,,,,,,,,,,,
stn7-d5-pul-t2,change to zero,,,,,,,,,,,,
stn7-d5-pul-t3,change to zero,,,,,,,,,,,,
stn7-d5-xyl-t0,change to zero,,,,,,,,,,,,
stn7-d5-xyl-t1,change to zero,,,,,,,,,,,,
stn7-d5-xyl-t2,change to zero,,,,,,,,,,,,
stn7-d5-xyl-t3,change to zero,,,,,,,,,,,,
stn10-d5-ara-t0,change to zero,,,,,,,,,,,,
stn10-d5-ara-t1,change to zero,,,,,,,,,,,,
stn10-d5-ara-t2,change to zero,,,,,,,,,,,,
stn10-d5-ara-t3,change to zero,,,,,,,,,,,,
stn10-d5-chon-t0,change to zero,,,,,,,,,,,,
stn10-d5-chon-t1,change to zero,,,,,,,,,,,,
stn10-d5-chon-t2,change to zero,,,,,,,,,,,,
stn10-d5-chon-t3,change to zero,,,,,,,,,,,,
stn10-d5-fuc-t0,change to zero,,,,,,,,,,,,
stn10-d5-fuc-t1,change to zero,,,,,,,,,,,,
stn10-d5-fuc-t2,change to zero,,,,,,,,,,,,
stn10-d5-fuc-t3,change to zero,,,,,,,,,,,,
stn10-d5-lam-t0,,,,,,,,,,,,,
stn10-d5-lam-t1,,,,,,,,,,,,,
stn10-d5-lam-t2,,,,,,,,,,,,,
stn10-d5-lam-t3,,,,,,,,,,,,,
stn10-d5-pul-t0,change to zero,,,,,,,,,,,,
stn10-d5-pul-t1,change to zero,,,,,,,,,,,,
stn10-d5-pul-t2,change to zero,,,,,,,,,,,,
stn10-d5-pul-t3,change to zero,,,,,,,,,,,,
stn10-d5-xyl-t0,change to zero,,,,,,,,,,,,
stn10-d5-xyl-t1,change to zero,,,,,,,,,,,,
stn10-d5-xyl-t2,change to zero,,,,,,,,,,,,
stn10-d5-xyl-t3,change to zero,,,,,,,,,,,,
stn15-d5-ara-t0,change to zero,,,,,,,,,,,,
stn15-d5-ara-t1,change to zero,,,,,,,,,,,,
stn15-d5-ara-t2,change to zero,,,,,,,,,,,,
stn15-d5-ara-t3,change to zero,,,,,,,,,,,,
stn15-d5-chon-t0,change to zero,,,,,,,,,,,,
stn15-d5-chon-t1,change to zero,,,,,,,,,,,,
stn15-d5-chon-t2,change to zero,,,,,,,,,,,,
stn15-d5-chon-t3,change to zero,,,,,,,,,,,,
stn15-d5-fuc-t0,change to zero,,,,,,,,,,,,
stn15-d5-fuc-t1,change to zero,,,,,,,,,,,,
stn15-d5-fuc-t2,change to zero,,,,,,,,,,,,
stn15-d5-fuc-t3,change to zero,,,,,,,,,,,,
stn15-d5-lam-t0,change to zero,,,,,,,,,,,,
stn15-d5-lam-t1,change to zero,,,,,,,,,,,,
stn15-d5-lam-t2,change to zero,,,,,,,,,,,,
stn15-d5-lam-t3,change to zero,,,,,,,,,,,,
stn15-d5-pul-t0,change to zero,,,,,,,,,,,,
stn15-d5-pul-t1,change to zero,,,,,,,,,,,,
stn15-d5-pul-t2,change to zero,,,,,,,,,,,,
stn15-d5-pul-t3,change to zero,,,,,,,,,,,,
stn15-d5-xyl-t0,change to zero,,,,,,,,,,,,
stn15-d5-xyl-t1,change to zero,,,,,,,,,,,,
stn15-d5-xyl-t2,change to zero,,,,,,,,,,,,
stn15-d5-xyl-t3,change to zero,,,,,,,,,,,,
stn18-d5-ara-t0,change to zero,,,,,,,,,,,,
stn18-d5-ara-t1,change to zero,,,,,,,,,,,,
stn18-d5-ara-t2,change to zero,,,,,,,,,,,,
stn18-d5-chon-t0,change to zero,,,,,,,,,,,,
stn18-d5-chon-t1,change to zero,,,,,,,,,,,,
stn18-d5-chon-t2,change to zero,,,,,,,,,,,,
stn18-d5-fuc-t0,change to zero,,,,,,,,,,,,
stn18-d5-fuc-t1,change to zero,,,,,,,,,,,,
stn18-d5-fuc-t2,change to zero,,,,,,,,,,,,
stn18-d5-lam-t0,change to zero,,,,,,,,,,,,
stn18-d5-lam-t1,change to zero,,,,,,,,,,,,
stn18-d5-lam-t2,change to zero,,,,,,,,,,,,
stn18-d5-pul-t0,change to zero,,,,,,,,,,,,
stn18-d5-pul-t1,change to zero,,,,,,,,,,,,
stn18-d5-pul-t2,change to zero,,,,,,,,,,,,
stn18-d5-xyl-t0,change to zero,,,,,,,,,,,,
stn18-d5-xyl-t1,change to zero,,,,,,,,,,,,
stn18-d5-xyl-t2,change to zero,,,,,,,,,,,,
